id,slope,elevation,land_type
1,26.77569869864538,348.06397410203556,wetland
2,13.301400431375631,410.6776298094993,wetland
3,18.212687361562622,497.8450516997211,agricultural
4,18.93922659275966,239.4467359693945,urban
5,17.750914869189767,282.41945765585587,barren
6,21.07901319256549,318.3728226792939,urban
7,7.123004051244188,326.5484535616494,urban
8,15.370913326373719,323.30632257966374,agricultural
9,3.12674408425043,472.2833007669665,agricultural
10,11.535339829344377,414.20979334005693,agricultural
11,14.630012058637933,382.37156422721114,forest
12,19.566727786364176,292.8118153588346,urban
13,28.515931577586105,447.1371152663884,wetland
14,18.019531996450677,486.5181534454967,barren
15,22.307817485296795,446.3594847650679,forest
16,15.187981784856083,200.46953155744188,wetland
17,19.02312094128994,390.9204110550221,urban
18,2.1279664840132027,215.34061443263022,agricultural
19,7.631747425255409,277.28216610011657,urban
20,10.855592796154161,217.8574101043315,barren
21,14.174800650195408,381.1386358848163,forest
22,1.369462365071512,405.97697404778205,forest
23,4.20072292659953,234.34629141977155,barren
24,8.304429233739173,315.15166491349385,wetland
25,29.14598072703152,336.8709526866626,wetland
26,9.940410213091523,310.71590652827496,forest
27,14.461231743362475,236.30750014555792,forest
28,5.882931382151789,325.6843370562426,agricultural
29,18.32340213227305,425.3534143425254,wetland
30,8.420496465479228,221.30229935997664,barren
31,6.209777353152804,224.05400422457103,wetland
32,15.497178853379372,306.43138755079525,agricultural
33,0.16517397481262464,482.5177134856775,forest
34,0.22992097947675982,400.5717940168742,forest
35,6.572064273055734,403.60098700176945,agricultural
36,1.1016408750246343,308.57599725135947,barren
37,3.2407726239207415,378.0982373625615,forest
38,10.165819480162547,203.039355208323,urban
39,24.077570387394385,390.82881392286265,forest
40,17.161459301079024,473.98608427287104,urban
41,15.380031778692492,383.77204050344574,agricultural
42,8.804664696243648,462.1095780399035,agricultural
43,27.952611582984492,417.19191663982815,forest
44,11.91045123711575,236.1675249211071,wetland
45,2.6127830038731448,470.73599218575254,urban
46,18.511995483534037,219.93315330673246,barren
47,3.415151804298042,360.19024176432913,forest
48,10.356694284050763,242.6411371380373,barren
49,15.222358161534267,203.51198321927123,forest
50,26.226675740555272,326.6102780382917,wetland
